;longitude
456;10.55569
457;10.55946
458;10.557586
459;10.560489
460;10.472538
461;10.411998
462;10.442756
463;10.479702
464;10.464038
465;10.456669
466;10.49113
