;latitude
456;2.136189
457;2.14569
458;2.121845
459;2.130891
460;2.210235
461;2.178815
462;2.148553
463;2.166586
464;2.155722
465;2.190022
466;2.172288
