;latitude
323;1.538.806.000
324;1.547.090.000
325;1.525.000.000
326;1.557.364.000
327;1.473.973.000
328;1.531.899.000
329;1.478.000.000
330;1.540.608.000
331;1.495.375.000
332;1.495.515.000
333;1.498.712.000
334;1.498.427.000
335;1.496.392.000
336;1.519.090.000
337;1.523.752.000
338;1.509.499.000
339;1.512.047.000
340;2.101.004.000
341;2.101.667.000
342;2.095.045.000
343;2.129.503.000
344;2.154.389.000
345;2.105.418.000
346;2.139.689.000
347;2.111.043.000
348;2.149.537.000
349;2.111.888.000
350;2.137.571.000
351;2.104.921.000
352;2.152.471.000
353;2.103.433.000
354;1.681.625.000
355;1.679.335.000
356;1.655.543.000
357;1.691.667.000
358;1.667.574.000
359;1.670.132.000
360;1.678.132.000
361;1.701.600.000
362;981.771.000
363;963.715.000
364;960.849.000
365;944.200.000
366;956.127.000
367;946.939.000
368;959.995.000
369;2.125.042.000
370;2.115.884.000
371;2.183.333.000
372;2.152.960.000
373;2.121.412.000
374;2.177.224.000
375;2.106.971.000
376;2.142.319.000
377;2.100.500.000
378;2.132.560.000
379;1.112.889.000
380;1.131.833.000
381;1.115.737.000
382;1.126.706.000
383;1.158.739.000
384;1.105.720.000
385;1.128.333.000
386;1.131.004.000
387;2.054.388.000
388;2.059.464.000
389;2.040.081.000
390;2.065.095.000
391;2.053.916.000
392;2.038.465.000
393;2.043.732.000
394;2.045.000.000
395;2.159.422.000
396;2.007.806.000
397;2.035.767.000
398;2.019.586.000
399;1.979.742.000
400;2.002.654.000
401;1.993.337.000
402;2.015.926.000
403;2.052.763.000
404;2.001.561.000
405;2.006.777.000
406;1.957.798.000
407;1.962.527.000
408;1.961.376.000
409;2.047.565.000
410;2.025.758.000
411;1.970.252.000
412;1.989.713.000
413;1.993.114.000
414;1.993.684.000
415;1.982.578.000
416;2.003.482.000
417;1.998.666.000
418;1.980.000.000
419;1.646.190.000
420;1.623.422.000
421;1.612.396.000
422;1.648.769.000
423;1.627.066.000
424;1.647.007.000
425;1.657.941.000
426;1.038.824.000
427;1.038.943.000
428;1.038.600.000
429;1.037.373.000
430;1.036.784.000
431;1.034.527.000
432;1.051.489.000
433;1.036.004.000
434;1.036.221.000
435;1.040.005.000
436;995.883.000
437;986.738.000
438;977.186.000
439;980.350.000
440;969.706.000
441;994.719.000
442;2.217.895.000
443;2.210.935.000
444;2.246.411.000
445;2.247.522.000
446;2.163.623.000
447;2.188.363.000
448;2.182.356.000
449;1.021.640.000
450;1.018.731.000
451;1.008.127.000
452;997.522.000
453;1.008.717.000
454;1.025.369.000
455;2.130.561.000
456;2.136.189.000
457;2.145.690.000
458;2.121.845.000
459;2.130.891.000
460;2.210.235.000
461;2.178.815.000
462;2.148.553.000
463;2.166.586.000
464;2.155.722.000
465;2.190.022.000
466;2.172.288.000
